,type,Province,Year,Schools,Classes,TeachStaff_Total,TeachStaff_Female,NonTeachStaff_Total,NonTeachStaff_Female,Grade_1_Enrollment_Total,Grade_1_Enrollment_Girl,Grade_1_Repeaters_Total,Grade_1_Repeaters_Girl,Grade_2_Enrollment_Total,Grade_2_Enrollment_Girl,Grade_2_Repeaters_Total,Grade_2_Repeaters_Girl,Grade_3_Enrollment_Total,Grade_3_Enrollment_Girl,Grade_3_Repeaters_Total,Grade_3_Repeaters_Girl,Grade_4_Enrollment_Total,Grade_4_Enrollment_Girl,Grade_4_Repeaters_Total,Grade_4_Repeaters_Girl,Grade_5_Enrollment_Total,Grade_5_Enrollment_Girl,Grade_5_Repeaters_Total,Grade_5_Repeaters_Girl,Grade_6_Enrollment_Total,Grade_6_Enrollment_Girl,Grade_6_Repeaters_Total,Grade_6_Repeaters_Girl,Grade_7_Enrollment_Total,Grade_7_Enrollment_Girl,Grade_7_Repeaters_Total,Grade_7_Repeaters_Girl,Grade_8_Enrollment_Total,Grade_8_Enrollment_Girl,Grade_8_Repeaters_Total,Grade_8_Repeaters_Girl,Grade_9_Enrollment_Total,Grade_9_Enrollment_Girl,Grade_9_Repeaters_Total,Grade_9_Repeaters_Girl,Grade_10_Enrollment_Total,Grade_10_Enrollment_Girl,Grade_10_Repeaters_Total,Grade_10_Repeaters_Girl,Grade_11_Enrollment_Total,Grade_11_Enrollment_Girl,Grade_11_Repeaters_Total,Grade_11_Repeaters_Girl,Grade_12_Enrollment_Total,Grade_12_Enrollment_Girl,Grade_12_Repeaters_Total,Grade_12_Repeaters_Girl,Total_Enrollment_Total,Total_Enrollment_Girl,Total_Repeaters_Total,Total_Repeaters_Girl,T_Primary,T_LSec,T_USec,T_Graduate,T_PostGrad,T_PhD,Grade_1_Dropout,Grade_2_Dropout,Grade_3_Dropout,Grade_4_Dropout,Grade_5_Dropout,Grade_6_Dropout,Grade_7_Dropout,Grade_8_Dropout,Grade_9_Dropout,Grade_10_Dropout,Grade_11_Dropout,Grade_12_Dropout
10,public,Kratie,2018,418,2736,2550,1585,367,122,13865,6541,1820,703,12258,5633,1162,452,11030,5236,847,314,10141,5088,592,211,8662,4374,380,141,7367,3765,211,75,5389,2842,132,43,4141,2271,37,8,3387,1779,88,30,2324,1290,22,7,2047,1126,11,5,1668,845,76,32,82279,40790,5378,2021,74,657,1606,233,3,0,5.4,5.9,7.9,8.6,9.7,12.3,22.3,19.3,21.2,13.7,8.5,45.6
11,public,Mondul Kiri,2018,126,783,812,380,46,9,3188,1579,241,101,2743,1245,174,62,2707,1389,125,53,2319,1102,90,29,1978,1027,26,12,1641,869,24,9,1338,689,40,10,1036,569,27,5,838,448,26,9,567,300,6,2,483,264,3,0,336,183,2,1,19174,9664,784,293,23,256,473,60,0,0,7.1,4.7,7.5,10.2,11.6,8.6,17.6,12.3,12.3,12.7,4.3,6.4
12,public,Otdar Meanchey,2018,358,1934,1525,679,302,65,7697,3525,1083,406,6826,3139,710,262,6564,3144,542,202,6071,2922,320,99,5368,2694,225,75,4853,2516,101,36,3899,1914,130,37,3036,1561,49,16,2574,1298,130,47,1796,939,37,8,1375,727,2,0,1010,484,8,4,51069,24863,3337,1192,85,276,967,189,9,0,5.8,4.7,6.1,9.3,6.5,14.9,17.5,14.2,19.7,13.4,5.5,11.3
13,public,Pailin,2018,82,501,625,315,76,22,2068,998,198,61,1870,842,144,48,1782,817,150,48,1676,826,83,29,1553,762,50,9,1367,715,10,3,1398,729,95,36,1012,511,31,9,800,415,18,4,622,346,9,5,440,239,7,1,417,213,36,7,15005,7413,831,260,11,49,451,113,1,0,4.1,6.0,7.2,5.1,7.4,6.4,17.5,11.3,17.7,9.8,5.8,36.7
14,public,Phnom Penh,2018,376,5609,9841,5742,1042,407,25905,11913,1373,478,23256,10768,901,267,21667,10083,681,218,23771,11440,465,131,23212,11370,387,95,21089,10540,146,44,18389,9043,594,156,16220,8216,360,132,15152,7590,484,150,12840,6544,140,43,11546,5855,128,43,12516,6163,938,402,225563,109525,6597,2159,238,1875,4126,3183,428,2,3.6,2.8,3.3,1.9,3.2,5.0,11.7,4.9,10.1,8.0,,44.1
15,public,Preah Sihanouk,2018,156,1187,1598,775,239,74,5150,2464,301,111,4675,2241,168,70,4425,2091,140,55,4589,2352,84,25,4123,2018,68,25,3961,1951,64,10,3448,1719,177,42,2470,1271,45,16,2238,1104,73,20,1389,757,16,5,1438,744,8,1,1183,574,25,8,39089,19286,1169,388,24,196,944,386,27,0,1.9,2.3,0.4,6.5,2.7,11.2,23.2,16.5,22.6,12.7,7.5,20.0
16,public,Preah Vihear,2018,401,2038,1999,1002,266,72,7969,3698,1380,568,7067,3327,704,301,6356,3040,500,195,5885,2904,295,103,5287,2701,150,62,4779,2513,83,33,3967,2242,61,21,3155,1716,29,13,2706,1488,33,8,1894,1038,1,0,1387,696,0,0,1112,557,15,5,51564,25920,3251,1309,113,340,1280,257,9,0,4.0,4.6,3.7,7.6,9.3,9.2,16.4,10.6,13.4,22.6,14.6,13.3
17,public,Prey Veng,2018,1035,6615,5736,2709,1800,455,26653,12259,3239,1200,25587,11714,2204,772,25671,11920,1710,617,25315,11987,1287,417,23986,11542,1007,356,21791,10645,650,225,18143,9320,151,44,15591,8201,64,22,13508,7168,207,58,9678,5207,78,32,7240,3750,54,21,6032,3192,174,76,219195,106905,10825,3840,36,1535,2622,1505,33,1,1.8,1.0,2.4,2.9,3.3,2.9,16.1,16.7,19.2,17.0,9.7,17.7
18,public,Pursat,2018,537,3207,3156,1520,610,161,13749,6537,2075,845,12552,5881,1161,447,11977,5759,856,331,11230,5559,629,226,10265,5105,383,156,9451,4728,224,62,7417,3922,139,45,5965,3171,74,21,4894,2609,128,42,3686,2013,40,13,2816,1480,14,9,2295,1219,97,40,96297,47983,5820,2237,53,665,1818,585,35,0,4.2,4.3,3.5,5.1,4.4,6.6,17.5,16.2,14.6,19.4,11.0,37.2
19,public,Ratanak Kiri,2018,303,1703,1275,590,123,30,9423,4287,707,318,8088,3926,445,176,7372,3608,260,107,6457,3135,163,59,5455,2690,126,45,4184,2114,48,16,3239,1582,20,4,2366,1178,11,3,2040,981,78,32,1357,637,2,0,1029,470,2,0,716,340,0,0,51726,24948,1862,760,77,226,805,164,3,0,11.7,10.2,9.8,13.8,14.1,14.4,19.5,1.0,17.3,8.5,7.6,14.0
