Province,Year,Schools,Classes,TeachStaff_Total,TeachStaff_Female,NonTeachStaff_Total,NonTeachStaff_Female,Grade_1_Enrollment_Total,Grade_1_Enrollment_Girl,Grade_1_Repeaters_Total,Grade_1_Repeaters_Girl,Grade_2_Enrollment_Total,Grade_2_Enrollment_Girl,Grade_2_Repeaters_Total,Grade_2_Repeaters_Girl,Grade_3_Enrollment_Total,Grade_3_Enrollment_Girl,Grade_3_Repeaters_Total,Grade_3_Repeaters_Girl,Grade_4_Enrollment_Total,Grade_4_Enrollment_Girl,Grade_4_Repeaters_Total,Grade_4_Repeaters_Girl,Grade_5_Enrollment_Total,Grade_5_Enrollment_Girl,Grade_5_Repeaters_Total,Grade_5_Repeaters_Girl,Grade_6_Enrollment_Total,Grade_6_Enrollment_Girl,Grade_6_Repeaters_Total,Grade_6_Repeaters_Girl,Grade_7_Enrollment_Total,Grade_7_Enrollment_Girl,Grade_7_Repeaters_Total,Grade_7_Repeaters_Girl,Grade_8_Enrollment_Total,Grade_8_Enrollment_Girl,Grade_8_Repeaters_Total,Grade_8_Repeaters_Girl,Grade_9_Enrollment_Total,Grade_9_Enrollment_Girl,Grade_9_Repeaters_Total,Grade_9_Repeaters_Girl,Grade_10_Enrollment_Total,Grade_10_Enrollment_Girl,Grade_10_Repeaters_Total,Grade_10_Repeaters_Girl,Grade_11_Enrollment_Total,Grade_11_Enrollment_Girl,Grade_11_Repeaters_Total,Grade_11_Repeaters_Girl,Grade_12_Enrollment_Total,Grade_12_Enrollment_Girl,Grade_12_Repeaters_Total,Grade_12_Repeaters_Girl,Total_Enrollment_Total,Total_Enrollment_Girl,Total_Repeaters_Total,Total_Repeaters_Girl,T_Primary,T_LSec,T_USec,T_Graduate,T_PostGrad,T_PhD,Grade_1_Dropout,Grade_2_Dropout,Grade_3_Dropout,Grade_4_Dropout,Grade_5_Dropout,Grade_6_Dropout,Grade_7_Dropout,Grade_8_Dropout,Grade_9_Dropout,Grade_10_Dropout,Grade_11_Dropout,Grade_12_Dropout
Kratie,2018,418,2736,2550,1585,367,122,13865,6541,1820,703,12258,5633,1162,452,11030,5236,847,314,10141,5088,592,211,8662,4374,380,141,7367,3765,211,75,5389,2842,132,43,4141,2271,37,8,3387,1779,88,30,2324,1290,22,7,2047,1126,11,5,1668,845,76,32,82279,40790,5378,2021,74,657,1606,233,3,0,5.4,5.9,7.9,8.6,9.7,12.3,22.3,19.3,21.2,13.7,8.5,45.6
Mondul Kiri,2018,126,783,812,380,46,9,3188,1579,241,101,2743,1245,174,62,2707,1389,125,53,2319,1102,90,29,1978,1027,26,12,1641,869,24,9,1338,689,40,10,1036,569,27,5,838,448,26,9,567,300,6,2,483,264,3,0,336,183,2,1,19174,9664,784,293,23,256,473,60,0,0,7.1,4.7,7.5,10.2,11.6,8.6,17.6,12.3,12.3,12.7,4.3,6.4
Otdar Meanchey,2018,358,1934,1525,679,302,65,7697,3525,1083,406,6826,3139,710,262,6564,3144,542,202,6071,2922,320,99,5368,2694,225,75,4853,2516,101,36,3899,1914,130,37,3036,1561,49,16,2574,1298,130,47,1796,939,37,8,1375,727,2,0,1010,484,8,4,51069,24863,3337,1192,85,276,967,189,9,0,5.8,4.7,6.1,9.3,6.5,14.9,17.5,14.2,19.7,13.4,5.5,11.3
Pailin,2018,82,501,625,315,76,22,2068,998,198,61,1870,842,144,48,1782,817,150,48,1676,826,83,29,1553,762,50,9,1367,715,10,3,1398,729,95,36,1012,511,31,9,800,415,18,4,622,346,9,5,440,239,7,1,417,213,36,7,15005,7413,831,260,11,49,451,113,1,0,4.1,6.0,7.2,5.1,7.4,6.4,17.5,11.3,17.7,9.8,5.8,36.7
Phnom Penh,2018,376,5609,9841,5742,1042,407,25905,11913,1373,478,23256,10768,901,267,21667,10083,681,218,23771,11440,465,131,23212,11370,387,95,21089,10540,146,44,18389,9043,594,156,16220,8216,360,132,15152,7590,484,150,12840,6544,140,43,11546,5855,128,43,12516,6163,938,402,225563,109525,6597,2159,238,1875,4126,3183,428,2,3.6,2.8,3.3,1.9,3.2,5.0,11.7,4.9,10.1,8.0,,44.1
Preah Sihanouk,2018,156,1187,1598,775,239,74,5150,2464,301,111,4675,2241,168,70,4425,2091,140,55,4589,2352,84,25,4123,2018,68,25,3961,1951,64,10,3448,1719,177,42,2470,1271,45,16,2238,1104,73,20,1389,757,16,5,1438,744,8,1,1183,574,25,8,39089,19286,1169,388,24,196,944,386,27,0,1.9,2.3,0.4,6.5,2.7,11.2,23.2,16.5,22.6,12.7,7.5,20.0
Preah Vihear,2018,401,2038,1999,1002,266,72,7969,3698,1380,568,7067,3327,704,301,6356,3040,500,195,5885,2904,295,103,5287,2701,150,62,4779,2513,83,33,3967,2242,61,21,3155,1716,29,13,2706,1488,33,8,1894,1038,1,0,1387,696,0,0,1112,557,15,5,51564,25920,3251,1309,113,340,1280,257,9,0,4.0,4.6,3.7,7.6,9.3,9.2,16.4,10.6,13.4,22.6,14.6,13.3
Prey Veng,2018,1035,6615,5736,2709,1800,455,26653,12259,3239,1200,25587,11714,2204,772,25671,11920,1710,617,25315,11987,1287,417,23986,11542,1007,356,21791,10645,650,225,18143,9320,151,44,15591,8201,64,22,13508,7168,207,58,9678,5207,78,32,7240,3750,54,21,6032,3192,174,76,219195,106905,10825,3840,36,1535,2622,1505,33,1,1.8,1.0,2.4,2.9,3.3,2.9,16.1,16.7,19.2,17.0,9.7,17.7
Pursat,2018,537,3207,3156,1520,610,161,13749,6537,2075,845,12552,5881,1161,447,11977,5759,856,331,11230,5559,629,226,10265,5105,383,156,9451,4728,224,62,7417,3922,139,45,5965,3171,74,21,4894,2609,128,42,3686,2013,40,13,2816,1480,14,9,2295,1219,97,40,96297,47983,5820,2237,53,665,1818,585,35,0,4.2,4.3,3.5,5.1,4.4,6.6,17.5,16.2,14.6,19.4,11.0,37.2
Ratanak Kiri,2018,303,1703,1275,590,123,30,9423,4287,707,318,8088,3926,445,176,7372,3608,260,107,6457,3135,163,59,5455,2690,126,45,4184,2114,48,16,3239,1582,20,4,2366,1178,11,3,2040,981,78,32,1357,637,2,0,1029,470,2,0,716,340,0,0,51726,24948,1862,760,77,226,805,164,3,0,11.7,10.2,9.8,13.8,14.1,14.4,19.5,1.0,17.3,8.5,7.6,14.0
Siemreap,2018,1067,6918,5950,3699,1446,536,32220,14885,4385,1716,29187,13598,2829,941,28401,13505,2103,725,27324,13414,1240,399,25247,12615,850,254,22273,11398,570,168,19678,10277,881,273,15831,8640,430,143,13503,7530,538,198,10187,5884,224,89,9130,4858,87,37,6929,3866,220,93,239910,120470,14357,5036,69,626,3786,1350,112,1,3.4,5.7,4.5,1.5,5.0,8.7,15.4,10.9,13.6,4.2,6.1,24.0
Stung Treng,2018,218,1359,1217,657,169,58,5846,2749,1178,546,5258,2515,706,307,4680,2268,401,156,4013,2039,241,92,3351,1704,133,56,2659,1373,63,26,1934,1041,14,3,1528,812,5,3,1257,637,14,4,966,489,3,2,678,342,0,0,589,289,6,3,32759,16258,2764,1198,59,342,769,82,2,0,4.6,6.7,10.0,7.2,13.7,22.6,18.4,11.7,12.3,5.0,4.9,5.3
Svay Rieng,2018,508,3344,3688,1394,929,208,12872,6032,1018,394,12059,5714,695,227,12060,5760,506,180,12503,6112,371,116,11721,5798,236,83,10903,5408,174,50,9820,5035,240,67,8195,4181,150,35,7207,3738,204,55,5218,2670,28,7,4282,2241,19,6,3481,1665,67,33,110321,54354,3708,1253,52,431,2231,939,35,0,1.6,1.0,2.2,2.8,2.6,2.1,20.5,14.7,17.7,16.1,9.2,21.9
Takeo,2018,782,5777,6485,2627,1696,391,20323,9360,2115,746,19466,9058,1621,589,19920,9365,1317,492,20295,9752,1062,339,19633,9600,805,277,18712,9182,626,186,16899,8385,434,123,15422,7779,330,93,14383,7268,382,84,11365,5870,144,44,9268,4769,114,35,8447,4300,457,197,194133,94688,9407,3205,58,846,3671,1847,63,0,1.1,1.4,2.3,2.3,2.6,4.5,11.5,12.2,16.2,14.6,9.9,41.8
Tbaung Khmum,2018,703,4642,3757,2023,712,223,23060,10796,2205,857,20891,9916,1575,613,19762,9305,1233,474,19061,9314,893,350,17423,8565,563,206,15389,7959,402,144,12509,6404,402,141,9786,5301,178,53,7855,4200,278,84,5362,2858,57,15,4203,2386,30,11,3448,1872,150,70,158749,78876,7966,3018,46,660,2495,532,23,1,5.2,5.3,6.2,6.3,7.3,7.9,21.6,17.1,23.6,17.1,9.0,25.9
Banteay Meanchey,2019,818,4667,4834,2516,894,216,17988,8373,1152,404,17401,8344,817,297,16217,7788,582,194,15983,7716,478,123,15414,7546,265,73,14154,7083,175,69,11717,6067,239,72,8784,4791,159,47,7519,4073,268,87,5330,3095,38,11,4249,2467,15,5,3835,2065,104,45,138591,69408,4292,1427,74,769,2722,1192,77,0,3.1,2.1,2.3,4.8,1.2,7.0,15.1,12.4,17.2,12.2,7.4,44.8
Battambang,2019,1147,7694,6851,4128,1686,632,33046,15345,3796,1456,31067,14568,2384,848,28768,13600,1627,575,26888,12831,1087,359,25739,12525,711,244,23916,11971,528,174,19280,9967,573,164,14309,7722,271,87,11640,6378,388,123,8882,4960,109,26,6769,3806,34,16,5926,3336,175,85,236230,117009,11683,4157,147,1038,2980,2524,159,1,6.1,5.2,5.1,4.1,5.9,22.0,16.9,15.4,22.8,14.7,8.1,35.1
Kampong Cham,2019,816,5905,5779,3352,1743,684,26288,12138,3545,1349,25135,11639,2486,907,23789,11102,2079,694,22806,10820,1489,498,21546,10550,1192,374,19674,9942,730,231,17067,9006,677,235,13633,7373,368,117,11497,6397,401,154,9287,5250,147,54,7425,4336,51,19,6792,3875,195,83,204939,102428,13360,4715,215,1491,2716,1291,63,3,3.9,4.3,2.5,3.8,5.3,27.8,13.1,15.1,37.2,14.2,7.0,27.4
Kampong Chhnang,2019,469,3204,3567,1727,675,175,13231,6275,1400,547,12648,5957,975,346,12148,5808,797,228,12134,5868,609,190,11856,5951,355,121,11199,5713,186,61,9658,5096,255,64,7847,4350,118,31,6784,3701,131,28,4914,2831,25,4,4161,2335,13,6,3668,2055,96,45,110248,55940,4960,1671,38,624,1764,1090,51,0,0.9,1.2,1.9,4.0,3.5,10.4,10.9,13.6,19.1,16.7,12.0,28.8
Kampong Speu,2019,619,4144,4390,1939,793,142,19117,8962,1684,660,17986,8575,1112,436,17956,8494,959,336,17883,8522,694,253,18220,9035,465,155,17229,8755,398,172,14491,7547,262,75,10687,5646,166,48,9001,4707,279,74,6155,3323,14,2,5095,2711,12,1,4436,2334,56,28,158256,78611,6101,2240,154,906,1931,1318,79,2,2.6,1.0,3.2,3.6,2.4,25.6,16.1,21.6,39.1,16.0,9.8,23.7
Kampong Thom,2019,789,4575,4398,2444,774,192,19773,9216,2616,1015,18319,8843,1639,611,16909,8026,1219,413,16155,7942,766,266,14705,7437,485,145,13996,7267,377,120,12392,6555,508,189,9864,5552,211,68,8255,4458,318,104,6107,3449,53,13,4812,2699,39,11,4482,2574,55,24,145769,74018,8286,2979,158,721,2165,1277,75,2,2.7,1.6,2.2,4.6,4.7,29.1,16.0,15.1,30.4,19.3,8.6,30.8
Kampot,2019,611,3862,4802,2378,944,199,14156,6391,1338,483,13167,6227,827,274,12619,5948,601,200,12556,5954,417,123,12407,6005,380,130,11756,5896,264,73,10768,5534,323,89,8432,4392,172,36,7854,4126,306,80,5840,3138,108,38,5219,2737,48,21,4695,2469,89,37,119469,58817,4873,1584,65,872,2517,1286,62,0,1.1,2.5,3.3,3.1,3.9,21.6,14.9,17.3,23.1,14.6,8.9,16.1
Kandal,2019,752,6609,7298,4050,1461,391,29507,13637,3727,1448,27771,13182,2625,896,26276,12069,2166,739,26024,12137,1759,558,25763,12351,1334,440,24273,11964,839,247,20343,10462,667,176,15866,8346,273,92,13734,7316,372,116,11109,6207,122,47,9249,5261,72,19,8285,4536,265,118,238200,117468,14221,4896,277,1554,2988,2337,141,1,1.0,2.1,1.1,2.9,2.5,2.6,12.3,12.2,10.9,13.4,11.2,17.0
Kep,2019,50,276,456,239,93,20,1136,527,138,56,936,455,94,30,885,425,88,30,823,389,94,24,721,395,38,5,658,330,27,4,601,302,39,6,445,236,16,3,422,223,19,10,372,182,7,3,328,176,2,0,345,185,7,2,7672,3825,569,173,1,62,230,157,6,0,,,,,4.1,14.1,23.2,14.3,20.0,8.2,7.6,7.8
Koh Kong,2019,219,1101,1097,503,162,41,3266,1524,305,123,2980,1379,211,74,2747,1294,126,47,2609,1207,86,29,2428,1204,45,9,2365,1277,35,12,2074,1059,13,5,1634,839,11,2,1420,730,39,11,1014,523,5,1,906,468,3,0,741,331,15,10,24184,11835,894,323,17,185,734,159,2,0,7.6,7.2,5.7,5.3,,16.6,14.9,9.8,22.0,1.9,8.5,64.1
Kratie,2019,441,2781,2577,1623,372,132,13347,6067,1858,735,12119,5754,1168,436,11126,5180,854,319,9807,4759,515,195,9111,4668,353,105,7753,4021,200,83,5624,2926,107,31,4184,2260,54,16,3299,1813,93,32,2346,1278,28,5,1969,1114,18,6,1893,1035,44,12,82578,40875,5292,1975,48,676,1596,248,8,0,10.0,8.3,9.3,8.6,9.1,14.4,20.0,20.9,22.7,13.7,8.6,18.8
Mondul Kiri,2019,127,801,839,408,53,11,3055,1501,180,89,2881,1441,120,50,2469,1164,95,38,2441,1257,76,27,2055,1015,41,9,1722,907,26,13,1340,691,49,14,1085,581,30,13,931,498,86,26,604,334,1,0,491,266,0,0,453,251,0,0,19527,9906,704,279,32,251,484,72,0,0,5.9,5.5,8.7,6.3,12.1,8.2,15.5,14.8,12.3,11.3,4.9,5.5
Otdar Meanchey,2019,359,1957,1561,721,318,73,7847,3603,1072,411,6670,3049,625,222,6314,2983,532,187,5922,2865,328,105,5523,2723,219,76,4909,2496,182,64,4196,2212,180,53,3135,1580,75,21,2636,1350,194,64,1879,983,44,12,1475,805,21,3,1261,662,23,9,51767,25311,3495,1227,104,319,902,225,11,0,8.1,3.9,6.3,5.8,6.9,32.8,15.8,16.3,27.9,13.3,9.8,13.4
Pailin,2019,81,512,636,341,81,22,2055,961,191,70,1979,928,144,49,1789,840,112,49,1631,753,51,12,1583,794,59,10,1451,714,12,1,1413,746,54,14,1085,587,18,4,930,469,76,31,593,325,13,3,499,280,1,0,416,225,14,11,15424,7622,745,254,19,43,408,163,3,0,4.9,0.2,3.3,3.6,5.1,6.4,18.1,13.5,14.0,18.2,10.5,38.0
Phnom Penh,2019,374,5501,9445,5506,1133,439,24321,11365,1549,556,24416,11502,1054,343,22491,10689,753,257,21335,10002,675,212,23256,11197,467,145,22231,11039,295,89,20286,10198,633,229,16240,8165,342,124,16108,8023,547,179,13391,6905,113,40,12367,6446,86,31,12265,6146,580,219,228707,111677,7094,2424,324,1785,3613,3202,420,5,0.3,,,0.5,1.0,16.3,7.1,1.6,33.4,,,44.0
Preah Sihanouk,2019,157,1200,1570,781,232,75,5217,2573,334,136,4694,2215,248,86,4538,2153,215,71,4098,1975,134,46,4186,2163,81,26,3955,1973,93,20,3475,1681,196,40,2517,1342,61,27,2204,1103,131,40,1595,868,16,7,1206,662,3,1,1334,678,205,106,39019,19386,1717,606,14,194,1003,344,15,0,5.9,1.7,2.9,6.0,0.9,75.5,21.2,14.2,83.4,11.8,23.0,7.8
Preah Vihear,2019,407,2132,2041,1061,321,88,8120,3735,1353,520,7166,3441,819,318,6492,3077,511,168,5720,2834,359,129,5258,2666,179,58,4782,2517,123,43,4213,2261,61,28,3278,1871,28,13,2817,1537,44,11,2089,1160,9,2,1589,875,0,0,1339,682,7,5,52863,26656,3493,1295,110,327,1274,270,14,0,1.5,3.0,5.5,5.8,6.3,13.7,15.9,10.4,30.5,15.5,2.7,8.4
Prey Veng,2019,1057,6676,5648,2699,1863,450,25789,11949,3032,1154,25136,11544,2039,695,24917,11367,1718,548,24873,11710,1300,460,24510,11654,1016,327,23005,11246,793,247,18555,9619,132,42,15452,8217,99,21,13298,6932,230,71,9576,5327,75,37,7724,4206,42,11,6676,3476,168,57,219511,107247,10644,3670,126,1325,2425,1735,36,1,2.1,1.7,1.0,1.7,1.9,23.9,11.6,16.1,41.7,18.7,8.5,16.1
Pursat,2019,543,3281,3138,1540,679,191,13784,6451,2087,850,12590,6047,1146,436,11930,5672,918,342,11005,5367,591,241,10187,5150,373,121,9342,4820,249,99,7900,4083,70,24,6000,3259,33,10,5150,2702,137,35,3739,2101,16,2,3254,1782,16,3,2815,1498,79,31,97696,48932,5715,2194,70,645,1710,684,29,0,2.2,2.2,5.1,5.4,5.2,12.0,16.6,15.5,12.7,11.5,0.7,17.3
Ratanak Kiri,2019,311,1856,1316,624,125,33,8650,3994,739,292,7918,3660,365,158,7338,3625,261,111,6657,3280,164,57,5449,2656,106,49,4600,2330,48,12,3448,1777,36,5,2488,1259,2,0,2375,1172,58,21,1612,788,2,0,1207,563,4,2,980,446,23,10,52722,25550,1808,717,60,213,817,172,6,0,12.0,6.5,7.6,15.0,12.0,42.4,20.1,2.3,28.2,11.9,6.8,7.6
Siemreap,2019,1077,7066,5769,3579,1809,792,32154,14930,4354,1657,29636,13846,2782,970,27388,12974,2060,648,26485,12877,1262,391,25643,12868,891,252,23808,12239,555,151,20619,10743,957,263,16066,8794,402,130,13888,7618,529,168,10987,6437,230,80,8750,5067,107,33,7956,4628,161,58,243380,123021,14290,4801,53,623,3378,1572,142,1,2.4,2.2,2.7,3.0,2.2,14.2,13.1,12.3,15.5,13.1,5.2,19.6
Stung Treng,2019,246,1454,1321,740,146,46,6086,2800,1079,458,5114,2482,605,264,4784,2248,412,181,4028,2008,241,84,3650,1926,104,42,2979,1537,66,32,2206,1099,62,23,1573,898,31,17,1387,723,33,11,886,478,22,3,814,414,2,1,677,350,29,9,34184,16963,2686,1125,84,360,804,73,1,0,7.2,11.5,11.3,6.5,11.0,35.6,18.1,16.2,18.1,14.9,,14.2
Svay Rieng,2019,509,3613,3694,1423,933,211,13280,6361,1082,415,12139,5702,608,210,11863,5670,485,158,11786,5649,360,108,12202,6076,304,85,11369,5674,195,51,10023,5021,268,52,8198,4347,119,31,6771,3483,145,39,5221,2793,66,22,4193,2161,18,2,3792,2005,77,32,110837,54942,3727,1205,100,528,2019,1012,34,1,2.1,,1.0,0.2,1.6,5.0,13.2,16.9,17.4,18.3,11.9,19.8
Takeo,2019,793,5706,6473,2652,1724,402,19825,9190,2419,869,19460,9084,1866,661,18676,8833,1765,571,18877,8996,1325,400,19359,9507,1233,395,18664,9210,1207,351,16561,8534,579,189,14561,7376,429,151,13507,6851,641,150,10724,5779,148,36,9529,5081,76,23,8431,4442,332,126,188174,92883,12020,3922,87,1088,3166,2048,78,6,0.7,1.5,2.1,2.5,3.6,9.6,11.6,11.9,17.0,13.2,9.0,29.2
Tbaung Khmum,2019,710,4686,3725,2068,848,246,22202,10243,2332,921,20971,9882,1553,581,19375,9240,1151,417,18001,8638,831,297,17560,8749,632,238,15482,7839,381,114,12596,6698,479,137,9387,5086,248,75,7945,4368,286,106,5420,3083,84,33,4442,2578,27,7,3825,2217,84,42,157206,78621,8088,2968,105,743,2091,755,31,0,5.5,5.3,6.1,5.6,7.1,48.8,18.5,16.9,41.0,8.9,8.5,22.6
Banteay Meanchey,2020,822,4882,4766,2503,938,243,18994,8921,1737,669,18253,8782,1130,425,16506,7837,790,271,16301,7923,627,206,15049,7352,421,140,14844,7380,325,108,12398,6475,117,40,10554,5648,54,15,8764,4738,80,28,6038,3438,20,12,5205,2926,8,2,4515,2623,82,45,147421,74043,5391,1961,106,797,2217,1553,93,0,5.2,5.3,4.5,6.5,6.1,5.9,10.2,13.3,13.3,12.2,6.7,24.7
Battambang,2020,1170,7827,7099,4290,1758,670,32644,15287,4614,1801,29477,13891,2873,1098,27532,13050,1994,763,26587,12749,1282,478,25028,12316,936,307,23067,11511,653,239,19461,10172,167,58,16644,8987,138,65,13931,7514,252,101,9524,5313,53,30,8071,4452,37,19,7373,4112,224,117,239339,119354,13223,5076,249,913,2704,2942,271,20,3.1,6.3,6.3,6.1,8.4,22.8,13.7,13.4,25.8,15.5,7.6,38.7
Kampong Cham,2020,820,6116,5840,3411,1779,722,26921,12429,4424,1663,25295,12431,3017,1148,23026,10869,2348,841,22261,12865,1767,628,21037,13976,1288,443,19977,9820,862,287,16844,8991,141,72,14422,7846,131,46,12577,6878,251,97,9403,5311,48,24,8448,4748,63,31,7491,4278,209,127,207702,110442,14549,5407,175,1385,2441,1728,107,4,4.2,5.3,4.7,5.9,5.8,35.2,11.2,13.1,36.1,13.4,9.0,41.3
Kampong Chhnang,2020,472,3307,3586,1776,740,213,14183,6774,1930,746,13382,6424,1325,450,12271,5847,1079,326,11813,6099,798,242,11284,6292,647,201,10817,5443,383,101,9783,5297,54,24,8517,4623,60,20,7020,3842,60,27,4856,2752,7,2,4148,2276,3,1,3749,2150,134,70,111823,57819,6480,2210,54,467,1581,1419,64,1,1.5,2.9,2.4,3.8,4.4,10.1,12.4,15.1,30.9,16.6,14.8,47.3
Kampong Speu,2020,631,4182,4308,1970,871,177,19207,9013,2057,846,18981,9253,1189,481,18125,8613,1092,446,17017,8193,867,335,16776,8084,591,228,16371,7988,464,169,14031,7349,64,13,11429,5943,54,19,9190,4759,135,35,5900,3098,36,8,4937,2577,27,19,4226,2279,48,21,156190,77149,6624,2620,100,846,1772,1494,95,1,2.9,3.2,3.9,4.3,5.9,30.9,18.5,19.9,53.2,21.8,13.0,62.9
